vehicles,0 - 5,6 - 9,10 - 14,15 - 17,18 - 20,21 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 and above,year
trucks,5,1,1,1,0,0,0,2,3,6,4,9,3,4,4,12,7,16,2016
agricultural,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,2,2,2016
trains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
bicycles,0,0,2,3,0,3,1,1,0,1,1,2,3,1,1,1,0,2,2019
motorcycles,0,0,1,4,13,24,30,19,26,24,12,12,9,8,13,6,6,13,2018
mopeds,0,0,0,1,2,0,1,1,1,2,1,0,2,5,2,0,1,3,2022
mopeds,0,0,0,1,3,0,3,0,2,1,1,2,1,2,1,1,3,3,2020
cars,3,1,1,3,18,29,22,13,9,22,16,31,18,20,29,31,23,34,2022
mopeds,0,0,0,2,1,3,0,0,3,2,3,1,2,3,4,0,3,5,2017
motorcycles,0,1,1,8,16,26,27,27,16,12,24,17,16,9,5,5,3,11,2021
buses,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020
mopeds,0,0,0,1,2,1,3,3,1,1,1,0,1,1,3,2,0,6,2016
cars,1,3,4,6,14,25,16,20,24,16,22,21,17,25,19,28,28,54,2018
agricultural,0,0,1,0,0,3,1,1,1,4,0,1,2,4,3,0,2,3,2020
trains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
buses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
trains,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021
bicycles,0,0,0,0,1,1,2,0,1,0,1,0,0,2,0,0,2,2,2020
bicycles,0,0,0,0,1,1,0,0,1,0,0,2,2,1,0,2,0,1,2017
bicycles,0,1,0,1,0,0,0,0,0,1,2,0,1,0,1,0,1,4,2022
motorcycles,0,0,0,5,14,23,33,27,23,22,16,28,13,11,8,7,7,12,2019
agricultural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,1,2021
bicycles,0,0,0,0,0,0,0,1,2,1,0,0,3,2,0,0,0,3,2018
agricultural,0,0,0,0,1,0,1,1,0,1,0,2,2,1,1,1,3,3,2018
trucks,1,1,0,0,0,1,0,3,2,3,4,9,6,5,6,3,9,8,2021
trains,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2019
cars,4,1,3,3,10,41,21,22,25,35,26,36,26,32,24,28,24,54,2016
trucks,0,0,0,0,0,1,4,1,4,10,6,8,11,7,5,6,7,8,2017
trucks,1,0,1,1,1,1,3,1,2,3,10,7,4,2,3,3,4,10,2020
buses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
mopeds,0,0,0,1,1,2,1,0,0,0,2,0,3,2,1,3,0,5,2021
agricultural,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,4,2,2,2017
mopeds,0,0,0,2,1,1,3,0,0,1,1,2,3,3,1,1,5,4,2018
trains_and_others,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2016
cars,2,4,4,7,18,25,22,27,21,26,23,29,20,16,22,24,18,48,2017
motorcycles,0,0,2,4,11,22,24,21,21,17,13,14,10,12,11,7,4,11,2020
motorcycles,0,0,2,8,22,20,38,18,15,19,16,25,8,12,3,12,6,9,2017
agricultural,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,4,2,2019
buses,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021
cars,4,2,2,5,14,15,22,20,20,16,15,19,18,11,21,23,9,32,2019
bicycles,0,1,2,2,1,0,0,0,1,0,1,2,2,1,1,0,2,2,2016
bicycles,0,0,0,1,0,1,0,1,0,1,1,3,1,0,2,0,1,1,2021
trucks,1,0,0,0,1,1,3,2,2,0,4,6,6,6,8,3,5,19,2018
trains,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2020
mopeds,0,0,0,1,1,1,2,1,0,0,1,2,0,2,0,3,2,3,2019
cars,2,0,0,3,14,25,24,17,17,25,16,17,18,12,14,21,12,38,2021
trucks,0,0,0,0,0,2,4,0,3,0,7,8,5,5,5,6,8,14,2022
cars,3,0,0,3,14,18,20,15,10,22,23,13,10,20,7,12,11,37,2020
agricultural,1,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,1,2,2022
trains,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022
trucks,1,0,0,0,1,3,7,5,6,3,7,7,5,4,7,9,6,17,2019
buses,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,2019
buses,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2017
motorcycles,0,0,0,3,11,27,31,24,13,15,13,17,12,15,8,4,6,5,2022
buses,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2016
motorcycles,0,1,0,8,15,31,31,33,18,24,27,21,5,10,11,8,8,11,2016
