location,year,deaths,LEKTIKO
MUNICIPALITY OF POROS,2022,0,ΔΗΜΟΣ ΠΟΡΟΥ
MEGISTIS MUNICIPALITY,2022,0,ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ
MUNICIPALITY OF AGIOS EFSTRATIO,2022,0,ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ
MUNICIPALITY OF ELAFONIS,2022,0,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ
ANOGEIA MUNICIPALITY,2022,0,ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ
MUNICIPALITY OF MEGANISIOU,2022,0,ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ
MUNICIPALITY OF KYTHIRA,2022,0,ΔΗΜΟΣ ΚΥΘΗΡΩΝ
MUNICIPALITY OF AGATHONISIOU,2022,0,ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ
HYDRA MUNICIPALITY,2022,0,ΔΗΜΟΣ ΎΔΡΑΣ
MUNICIPALITY OF PRESPA,2022,0,ΔΗΜΟΣ ΠΡΕΣΠΩΝ
FISHING MUNICIPALITY,2022,0,ΔΗΜΟΣ ΨΑΡΩΝ
MUNICIPALITY OF ANGISTRIOU,2022,0,ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ
MUNICIPALITY OF OINOUSSE,2022,0,ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ
MUNICIPALITY OF KIMOLO,2022,0,ΔΗΜΟΣ ΚΙΜΩΛΟΥ
AGIOS OROS (Municipality),2022,0,ΑΓΙΟ ΟΡΟΣ (Αυτοδιοίκητο)
MUNICIPALITY OF POROS,2019,0,ΔΗΜΟΣ ΠΟΡΟΥ
MEGISTIS MUNICIPALITY,2019,0,ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ
MUNICIPALITY OF AGIOS EFSTRATIO,2019,0,ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ
MUNICIPALITY OF ELAFONIS,2019,0,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ
ANOGEIA MUNICIPALITY,2019,0,ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ
MUNICIPALITY OF MEGANISIOU,2019,0,ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ
MUNICIPALITY OF KYTHIRA,2019,0,ΔΗΜΟΣ ΚΥΘΗΡΩΝ
MUNICIPALITY OF AGATHONISIOU,2019,0,ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ
HYDRA MUNICIPALITY,2019,0,ΔΗΜΟΣ ΎΔΡΑΣ
MUNICIPALITY OF PRESPA,2019,0,ΔΗΜΟΣ ΠΡΕΣΠΩΝ
FISHING MUNICIPALITY,2019,0,ΔΗΜΟΣ ΨΑΡΩΝ
MUNICIPALITY OF ANGISTRIOU,2019,0,ΔΗΜΟΣ ΑΓΚΙΣΤΡΙΟΥ
MUNICIPALITY OF OINOUSSE,2019,0,ΔΗΜΟΣ ΟΙΝΟΥΣΣΩΝ
MUNICIPALITY OF KIMOLO,2019,0,ΔΗΜΟΣ ΚΙΜΩΛΟΥ
AGIOS OROS (Municipality),2019,0,ΑΓΙΟ ΟΡΟΣ (Αυτοδιοίκητο)
MUNICIPALITY OF POROS,2016,0,ΔΗΜΟΣ ΠΟΡΟΥ
MEGISTIS MUNICIPALITY,2016,0,ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ
MUNICIPALITY OF AGIOS EFSTRATIO,2016,0,ΔΗΜΟΣ ΑΓΙΟΥ ΕΥΣΤΡΑΤΙΟΥ
MUNICIPALITY OF ELAFONIS,2016,0,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ
ANOGEIA MUNICIPALITY,2016,0,ΔΗΜΟΣ ΑΝΩΓΕΙΩΝ
MUNICIPALITY OF MEGANISIOU,2016,0,ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ
MUNICIPALITY OF KYTHIRA,2016,0,ΔΗΜΟΣ ΚΥΘΗΡΩΝ
MUNICIPALITY OF AGATHONISIOU,2016,0,ΔΗΜΟΣ ΑΓΑΘΟΝΗΣΙΟΥ
HYDRA MUNICIPALITY,2016,0,ΔΗΜΟΣ ΎΔΡΑΣ
MUNICIPALITY OF PRESPA,2016,0,ΔΗΜΟΣ ΠΡΕΣΠΩΝ
